2.4	, 97.6	, 5
2.4	, 50	, 5.04
1.8	, 33.2	, 4.96
1.6	, 25	, 4.8
1.52 , 18.48	, 4.68
1.52	, 16.72	, 4.52
1.44	, 14.24	, 4.36
1.52	, 12.64	, 4.16
1.28	, 11.12	, 4.04
1.2	, 9.92 ,	3.88
0.92	, 5	, 2.54
0.72	, 3.36	, 1.82
0.56	, 2.5	, 1.12
0.48	, 2	, 0.95
0.41	, 1.67 ,	0.81
0.36	, 1.44 ,	0.71
0.29	, 1.25 ,	0.63
0.31	, 1.11 ,	0.568
0.25	, 1	, 0.288
0.16	, 0.5 ,	0.19
