0	, 2.9
1	, -98.1
2	, -278
3	, -385.6
4	, -477.3
5	, -536.1
6	, -584.2
7	, -623.2
8	, -657.1
9	, -683.1
10 ,  -710.2
9	, -694.1
8	, -675.9
7	, -655.9
6	, -630.9
5	, -601.7
4	, -565.5
3	, -518.5
2	, -451.2
1	, -314.4
0	, -127.1
-1	, 64.7
-2	, 239.7
-3	, 377.5
-4	, 479.3
-5	, 536.9
-6	, 581.6
-7	, 622.3
-8	, 652.9
-9	, 681.2
-10 , 708.1
-9	, 691
-8	, 673.3
-7	, 652.6
-6	, 628.2
-5	, 599.2
-4	, 561.1
-3	, 517
-2	, 444.9
-1	, 312.6
0	, 125.4
1	, -84.4
2	, -243.1
3	, -380.3
4	, -473.3
5	, -535.4
6	, -582.2
7	, -624.1
8	, -651.4
9	, -680
10 ,  -708.1
9	, -690
8	, -672.4
7	, -652.5
6	, -627.5
5	, -597.8
4	, -562.7
3	, -516.4
2	, -446.7
1	, -311.3
0	, -129.1
