-14.7 , 0.0087
-14.3 , 0.0102
-4.2 , 0.0111
-13.6 , 0.014
-13.3 , 0.02
-12.8 , 0.03
-12.4 , 0.027
-11.6 , 0.014
-11.2 , 0.017
-10.8 , 0.03
-10.3 , 0.064
-9.94 , 0.074
-9.8 , 0.072
-9.6 , 0.062
-9.4 , 0.047
-8.9 , 0.018
-8.5 , 0.016
-8   , 0.02
-7.5 , 0.03
-6.8 , 0.042
-6.4 , 0.039
-6.1 , 0.057
-5.6 , 0.138
-5.4 , 0.168
-5.2 , 0.18
-4.9 , 0.156
-4.7 , 0.12
-3.9 , 0.03
-3.8 , 0.033
-3.7 , 0.042
-3.6 , 0.054
-3.4 , 0.102
-3.2 , 0.17
-2.9 , 0.41
-2.5 , 0.75
-2 , 0.93
-1.8 , 0.77
-1.3 , 0.48
-1 , 0.78
-0.8 , 1.44
-0.4 , 2.9
-0.3 , 3.3
0 , 3.8
0.3	 , 3.3
0.5	 , 2.6
0.6	 , 2.1
0.8	 , 1.5
0.9	 , 1.08
1	 , 0.81
1.1	 , 0.6
1.2	 , 0.52
1.3	 , 0.44
1.4	 , 0.43
1.5	 , 0.48
1.6	 , 0.6
1.7	 , 0.72
1.8	 , 0.86
1.9	 , 0.9
2	 , 1.02
2.1	 , 1.05
2.2	 , 1.08
2.3	 , 1.08
2.4	 , 1.02
2.5	 , 0.93
2.6	 , 0.84
2.7	 , 0.774
2.8 , 	0.624
3	 , 0.47
3.2	 , 0.29
3.3	 , 0.22
3.4 , 	0.16
3.6	 , 0.102
3.8	 , 0.063
4	 , 0.051
4.3	 , 0.066
4.5	 , 0.093
4.6	 , 0.114
4.7	 , 0.132
4.8	 , 0.15
4.9 , 	0.162
5	 , 0.171
5.2	 , 0.1746
5.3	 , 0.168
5.4	 , 0.153
5.5	 , 0.138
5.6	 , 0.1194
5.8	 , 0.075
6	 , 0.042
6.2 , 	0.028
6.4	 , 0.021
6.6	 , 0.0279
6.7	 , 0.033
6.8	 , 0.039
6.9	 , 0.042
7.1	 , 0.049
7.18 , 0.05
7.5	 , 0.045
7.7 , 	0.039
7.8	 , 0.038
8.2 , 	0.024
8.4	 , 0.018
9.1	 , 0.024
9.5	 , 0.053
9.7	 , 0.068
9.8	 , 0.071
9.9	 , 0.074
10.1 , 	0.072
10.2 , 	0.067
10.6 , 	0.038
10.9 , 	0.0201
11.1 , 	0.0135
11.3 , 	0.0114
11.5 , 	0.0123
12 , 	0.024
12.2 , 	0.026
12.7 , 	0.03
13.6 , 	0.0108
13.7 , 0.009
13.9 , 	0.0075
14.4 , 	0.0138
14.6 , 	0.0174
14.8 , 	0.0192
15.1 , 	0.01914
15.6 , 	0.0141
16 , 0.009

